client_id,period_id,array_name,category,application,usable,percent_capacity,percent_performance,larger,constraint,alert_color,device_type_code,controller_name,data_center,count
188,1468,AHISSVC,Prod,Prod,673700.96,78.09928013164773,13.729,78.09928,Capacity,yellow,SVC_DEVICE,AHISSVC,Plano,1
188,1468,AHISUNITY,EMC,EMC,45828.56,55.32521641526594,0.0,55.325216,Capacity,green,UNITY_DEVICE,AHISUNITY,Plano,1
188,1468,Ascension_30832,BackEnd,BackEnd,295815.04,95.75206182890498,0.0,95.752062,Capacity,red,COMPELLENT_DEVICE,Ascension_30832,Backend,1
188,1468,Ascension_78970,BackEnd,BackEnd,343326.72,89.4774516821761,0.0,89.477452,Capacity,red,COMPELLENT_DEVICE,Ascension_78970,Backend,1
188,1468,SVCP8,Prod,P8,52224.74,54.20668441815124,3.36633,54.206684,Capacity,green,SVC_DEVICE,SVCP8,Plano,1
188,1468,VMAX-195702745,BackEnd,BackEnd,167368.69,80.73581743395374,4.065,80.735817,Capacity,red,VMAX_DEVICE,VMAX-195702745,Backend,1
188,1470,AHISSVC,Prod,Prod,673700.9,78.09945036439761,15.64133,78.09945,Capacity,yellow,SVC_DEVICE,AHISSVC,Plano,1
188,1470,AHISUNITY,EMC,EMC,45828.56,55.32521641526594,0.0,55.325216,Capacity,green,UNITY_DEVICE,AHISUNITY,Plano,1
188,1470,Ascension_30832,BackEnd,BackEnd,295815.04,95.75206182890498,0.0,95.752062,Capacity,red,COMPELLENT_DEVICE,Ascension_30832,Backend,1
188,1470,Ascension_78970,BackEnd,BackEnd,343326.72,89.4774516821761,0.0,89.477452,Capacity,red,COMPELLENT_DEVICE,Ascension_78970,Backend,1
188,1470,SVCP8,Prod,P8,52227.37,54.830254711274954,3.33133,54.830255,Capacity,green,SVC_DEVICE,SVCP8,Plano,1
188,1470,VMAX-195702745,BackEnd,BackEnd,167368.69,80.73581743395374,3.575,80.735817,Capacity,red,VMAX_DEVICE,VMAX-195702745,Backend,1
188,1473,AHISSVC,Prod,Prod,673700.98,78.09972311454854,13.17033,78.099723,Capacity,yellow,SVC_DEVICE,AHISSVC,Plano,1
188,1473,AHISUNITY,EMC,EMC,45828.56,55.32521641526594,0.0,55.325216,Capacity,green,UNITY_DEVICE,AHISUNITY,Plano,1
188,1473,Ascension_30832,BackEnd,BackEnd,295815.04,95.75206182890498,0.0,95.752062,Capacity,red,COMPELLENT_DEVICE,Ascension_30832,Backend,1
188,1473,Ascension_78970,BackEnd,BackEnd,343326.72,89.4774516821761,0.0,89.477452,Capacity,red,COMPELLENT_DEVICE,Ascension_78970,Backend,1
188,1473,SVCP8,Prod,P8,52226.43,54.23767238158917,3.29366,54.237672,Capacity,green,SVC_DEVICE,SVCP8,Plano,1
188,1473,VMAX-195702745,BackEnd,BackEnd,167368.69,80.73581743395374,3.1345,80.735817,Capacity,red,VMAX_DEVICE,VMAX-195702745,Backend,1
188,1475,AHISSVC,Prod,Prod,673700.96,78.09972543307642,12.54566,78.099725,Capacity,yellow,SVC_DEVICE,AHISSVC,Plano,1
188,1475,AHISUNITY,EMC,EMC,45828.56,55.32521641526594,0.0,55.325216,Capacity,green,UNITY_DEVICE,AHISUNITY,Plano,1
188,1475,Ascension_30832,BackEnd,BackEnd,295815.04,95.75206182890498,0.0,95.752062,Capacity,red,COMPELLENT_DEVICE,Ascension_30832,Backend,1
188,1475,Ascension_78970,BackEnd,BackEnd,343326.72,89.4774516821761,0.0,89.477452,Capacity,red,COMPELLENT_DEVICE,Ascension_78970,Backend,1
188,1475,SVCP8,Prod,P8,52223.87,54.25047971358691,3.28366,54.25048,Capacity,green,SVC_DEVICE,SVCP8,Plano,1
188,1475,VMAX-195702745,BackEnd,BackEnd,167368.69,80.73581743395374,4.2225,80.735817,Capacity,red,VMAX_DEVICE,VMAX-195702745,Backend,1
188,1477,AHISSVC,Prod,Prod,673700.88,78.0998682976338,13.141,78.099868,Capacity,yellow,SVC_DEVICE,AHISSVC,Plano,1
188,1477,AHISUNITY,EMC,EMC,45828.56,55.32521641526594,0.0,55.325216,Capacity,green,UNITY_DEVICE,AHISUNITY,Plano,1
188,1477,Ascension_30832,BackEnd,BackEnd,295815.04,95.75206182890498,0.0,95.752062,Capacity,red,COMPELLENT_DEVICE,Ascension_30832,Backend,1
188,1477,Ascension_78970,BackEnd,BackEnd,343326.72,89.4774516821761,0.0,89.477452,Capacity,red,COMPELLENT_DEVICE,Ascension_78970,Backend,1
188,1477,SVCP8,Prod,P8,52223.69,54.26483651385033,3.452,54.264837,Capacity,green,SVC_DEVICE,SVCP8,Plano,1
188,1477,VMAX-195702745,BackEnd,BackEnd,167368.69,80.73581743395374,2.9805,80.735817,Capacity,red,VMAX_DEVICE,VMAX-195702745,Backend,1
188,1480,AHISSVC,Prod,Prod,673700.81,78.09989125588257,12.23333,78.099891,Capacity,yellow,SVC_DEVICE,AHISSVC,Plano,1
188,1480,AHISUNITY,EMC,EMC,45829.06,54.79656357778231,0.0,54.796564,Capacity,green,UNITY_DEVICE,AHISUNITY,Plano,1
188,1480,Ascension_30832,BackEnd,BackEnd,295815.04,95.75206182890498,0.0,95.752062,Capacity,red,COMPELLENT_DEVICE,Ascension_30832,Backend,1
188,1480,Ascension_78970,BackEnd,BackEnd,343326.72,89.4774516821761,0.0,89.477452,Capacity,red,COMPELLENT_DEVICE,Ascension_78970,Backend,1
188,1480,SVCP8,Prod,P8,52223.34,54.27630634118768,3.37233,54.276306,Capacity,green,SVC_DEVICE,SVCP8,Plano,1
188,1480,VMAX-195702745,BackEnd,BackEnd,167368.69,80.73581743395374,3.107,80.735817,Capacity,red,VMAX_DEVICE,VMAX-195702745,Backend,1
188,1482,AHISSVC,Prod,Prod,673700.93,78.09996640497438,11.559,78.099966,Capacity,yellow,SVC_DEVICE,AHISSVC,Plano,1
188,1482,AHISUNITY,EMC,EMC,45829.06,54.79656357778231,0.0,54.796564,Capacity,green,UNITY_DEVICE,AHISUNITY,Plano,1
188,1482,Ascension_30832,BackEnd,BackEnd,295815.04,95.75206182890498,0.0,95.752062,Capacity,red,COMPELLENT_DEVICE,Ascension_30832,Backend,1
188,1482,Ascension_78970,BackEnd,BackEnd,343326.72,89.4774516821761,0.0,89.477452,Capacity,red,COMPELLENT_DEVICE,Ascension_78970,Backend,1
188,1482,SVCP8,Prod,P8,52226.44,54.284764575184525,3.33,54.284765,Capacity,green,SVC_DEVICE,SVCP8,Plano,1
188,1482,VMAX-195702745,BackEnd,BackEnd,167368.69,80.73581743395374,3.857,80.735817,Capacity,red,VMAX_DEVICE,VMAX-195702745,Backend,1
188,1484,AHISSVC,Prod,Prod,673700.9,78.09996988277736,14.174,78.09997,Capacity,yellow,SVC_DEVICE,AHISSVC,Plano,1
188,1484,AHISUNITY,EMC,EMC,45829.06,54.79656357778231,0.0,54.796564,Capacity,green,UNITY_DEVICE,AHISUNITY,Plano,1
188,1484,Ascension_30832,BackEnd,BackEnd,295815.04,95.75206182890498,0.0,95.752062,Capacity,red,COMPELLENT_DEVICE,Ascension_30832,Backend,1
188,1484,Ascension_78970,BackEnd,BackEnd,343326.72,89.4774516821761,0.0,89.477452,Capacity,red,COMPELLENT_DEVICE,Ascension_78970,Backend,1
188,1484,SVCP8,Prod,P8,52225.48,54.258764112843004,3.45333,54.258764,Capacity,green,SVC_DEVICE,SVCP8,Plano,1
188,1484,VMAX-195702745,BackEnd,BackEnd,167368.69,80.73581743395374,3.578,80.735817,Capacity,red,VMAX_DEVICE,VMAX-195702745,Backend,1
188,1487,AHISSVC,Prod,Prod,673701.01,78.09998681759436,10.47233,78.099987,Capacity,yellow,SVC_DEVICE,AHISSVC,Plano,1
